"booking_id","origin","destination","travel_date","booking_date","days_in_advance","departure_hour","time_bucket","day_of_week","is_weekend","is_holiday","season","seat_class","total_seats","seats_booked","occupancy_rate","base_fare","season_mult","dow_mult","advance_mult","occupancy_mult","time_mult","holiday_mult","dynamic_fare","competitor_fare","demand_score","revenue"
"BK0326","CHENNAI KILAMBAKKAM KCBT","NAGERCOIL",2024-09-01,2024-08-15,17,19,"Evening","Sunday",TRUE,FALSE,"Normal","Sleeper",40,17,0.425,1145,1.013,1.192,0.882,0.942,1.115,1,1280,1335,50.2,21760
"BK0431","CHENNAI KILAMBAKKAM KCBT","SALEM",2024-09-01,2024-09-01,0,6,"Early Morning","Sunday",TRUE,FALSE,"Normal","Sleeper",40,40,1,535,0.999,1.158,1.268,1.426,0.94,1,1055,1080,70.5,42200
"BK0619","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-09-01,2024-08-23,9,21,"Night","Sunday",TRUE,FALSE,"Normal","Sleeper",40,11,0.275,1050,1.04,1.144,0.986,0.815,1.054,1,1060,1025,41.2,11660
"BK0926","CHENNAI KILAMBAKKAM KCBT","TRICHY",2024-09-01,2024-08-07,25,19,"Evening","Sunday",TRUE,FALSE,"Normal","Sleeper",40,22,0.55,530,1.047,1.146,0.889,1.14,1.198,1,770,770,55.6,16940
"BK1451","NAGERCOIL","TRICHY",2024-09-01,2024-08-29,3,8,"Early Morning","Sunday",TRUE,FALSE,"Normal","Semi-Sleeper",40,11,0.275,650,0.954,1.151,1.169,0.897,0.881,1,660,695,41.8,7260
"BK1503","THANJAVUR","TRICHY",2024-09-01,2024-08-30,2,10,"Morning","Sunday",TRUE,FALSE,"Normal","Sleeper",40,27,0.675,120,0.955,1.191,1.144,1.037,0.964,1,155,150,58.4,4185
"BK1567","THANJAVUR","TRICHY",2024-09-01,2024-08-11,21,8,"Early Morning","Sunday",TRUE,FALSE,"Normal","Semi-Sleeper",40,36,0.9,120,1.044,1.102,0.865,1.41,0.888,1,150,160,68.6,5400
"BK1658","TIRUCHENDUR","MADURAI",2024-09-01,2024-08-05,27,8,"Early Morning","Sunday",TRUE,FALSE,"Normal","Semi-Sleeper",40,38,0.95,320,1.021,1.188,0.816,1.361,0.947,1,410,415,72.7,15580
"BK1711","TIRUCHENDUR","TRICHY",2024-09-01,2024-08-14,18,21,"Night","Sunday",TRUE,FALSE,"Normal","Sleeper",40,29,0.725,535,0.984,1.148,0.814,1.02,1.061,1,535,535,63.7,15515
"BK1749","TIRUCHENDUR","TRICHY",2024-09-01,2024-08-25,7,5,"Early Morning","Sunday",TRUE,FALSE,"Normal","Seater",40,14,0.35,535,1.026,1.127,1.042,0.97,0.914,1,570,595,48.2,7980
"BK1890","TIRUNELVELI","MADURAI",2024-09-01,2024-08-21,11,6,"Early Morning","Sunday",TRUE,FALSE,"Normal","Sleeper",40,33,0.825,280,1.03,1.199,0.996,1.201,0.932,1,385,385,65.5,12705
"BK0058","BENGALURU","CHENNAI KILAMBAKKAM KCBT",2024-09-02,2024-08-04,29,19,"Evening","Monday",FALSE,FALSE,"Normal","Sleeper",40,30,0.75,680,1.048,0.982,0.873,1.28,1.128,1,880,890,54.6,26400
"BK0113","CHENNAI KILAMBAKKAM KCBT","COIMBATORE",2024-09-02,2024-09-01,1,7,"Early Morning","Monday",FALSE,FALSE,"Normal","Sleeper",40,12,0.3,825,0.991,1.039,1.339,0.91,0.906,1,940,940,35.9,11280
"BK0225","CHENNAI KILAMBAKKAM KCBT","MADURAI",2024-09-02,2024-08-30,3,22,"Night","Monday",FALSE,FALSE,"Normal","Seater",40,10,0.25,740,1.034,0.955,1.16,0.867,1.001,1,735,685,31.6,7350
"BK0238","CHENNAI KILAMBAKKAM KCBT","MADURAI",2024-09-02,2024-08-22,11,22,"Night","Monday",FALSE,FALSE,"Normal","Sleeper",40,40,1,740,1.021,0.982,0.928,1.356,1.002,1,935,910,64.3,37400
"BK0502","CHENNAI KILAMBAKKAM KCBT","THANJAVUR",2024-09-02,2024-08-16,17,20,"Evening","Monday",FALSE,FALSE,"Normal","Semi-Sleeper",40,32,0.8,545,1.009,0.97,0.807,1.248,1.193,1,640,610,54.5,20480
"BK0650","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-09-02,2024-08-21,12,14,"Afternoon","Monday",FALSE,FALSE,"Normal","Sleeper",40,25,0.625,1050,0.972,0.972,0.965,1.105,0.963,1,1015,1070,46.4,25375
"BK0744","CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",2024-09-02,2024-08-07,26,17,"Evening","Monday",FALSE,FALSE,"Normal","Seater",40,11,0.275,1020,1.026,0.954,0.802,0.791,1.142,1,725,735,32.5,7975
"BK0844","CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",2024-09-02,2024-08-17,16,7,"Early Morning","Monday",FALSE,FALSE,"Normal","Semi-Sleeper",40,32,0.8,750,1.048,0.977,0.859,1.286,0.937,1,795,740,52.8,25440
"BK1202","NAGERCOIL","MADURAI",2024-09-02,2024-08-17,16,8,"Early Morning","Monday",FALSE,FALSE,"Normal","Sleeper",40,23,0.575,420,1.036,1.02,0.915,1.024,0.949,1,395,370,44,9085
"BK1425","NAGERCOIL","TRICHY",2024-09-02,2024-08-19,14,5,"Early Morning","Monday",FALSE,FALSE,"Normal","Seater",40,28,0.7,650,0.982,1.013,0.922,1.009,0.924,1,555,535,49.8,15540
"BK1454","NAGERCOIL","TRICHY",2024-09-02,2024-08-07,26,22,"Night","Monday",FALSE,FALSE,"Normal","Sleeper",40,15,0.375,650,0.952,1.018,0.849,0.946,1.082,1,545,525,36.6,8175
"BK1486","NAGERCOIL","TRICHY",2024-09-02,2024-08-26,7,14,"Afternoon","Monday",FALSE,FALSE,"Normal","Semi-Sleeper",40,14,0.35,650,1.023,0.976,1.01,0.962,1.068,1,675,660,34.4,9450
"BK1523","THANJAVUR","TRICHY",2024-09-02,2024-08-12,21,17,"Evening","Monday",FALSE,FALSE,"Normal","Seater",40,10,0.25,120,1.027,0.974,0.832,0.835,1.195,1,100,100,30.8,1000
"BK1651","TIRUCHENDUR","MADURAI",2024-09-02,2024-08-31,2,6,"Early Morning","Monday",FALSE,FALSE,"Normal","Semi-Sleeper",40,33,0.825,320,1.034,1.022,1.229,1.276,0.967,1,515,500,55.7,16995
"BK1914","TIRUNELVELI","TRICHY",2024-09-02,2024-08-27,6,21,"Night","Monday",FALSE,FALSE,"Normal","Seater",40,23,0.575,510,0.968,1.012,1.054,1.101,1.032,1,600,635,44.6,13800
"BK0030","BENGALURU","CHENNAI KILAMBAKKAM KCBT",2024-09-03,2024-08-16,18,17,"Evening","Tuesday",FALSE,FALSE,"Normal","Semi-Sleeper",40,28,0.7,680,1.033,0.955,0.84,1.021,1.13,1,650,635,48.7,18200
"BK0055","BENGALURU","CHENNAI KILAMBAKKAM KCBT",2024-09-03,2024-08-18,16,20,"Evening","Tuesday",FALSE,FALSE,"Normal","Semi-Sleeper",40,16,0.4,680,0.975,1.049,0.815,0.963,1.11,1,605,600,38.7,9680
"BK0252","CHENNAI KILAMBAKKAM KCBT","MADURAI",2024-09-03,2024-08-06,28,22,"Night","Tuesday",FALSE,FALSE,"Normal","Semi-Sleeper",40,25,0.625,740,0.97,1.037,0.849,1.14,1.093,1,785,770,47,19625
